mint,dev_holding_pct,top_10_holding_pct,tx_velocity_1m,has_socials,funded_from_cex,is_success
2mqdJTP6Ga1AF38dBbqp39jviVnrshPNKq5jmqwxpump,0.0,0.01126,8,1,0,0
ByGoTWVw9s6FHqbhRCuRA5wrWAMeQEpGKbdZeK35pump,5.1095238095238,8.8686929218532,12,1,0,1
DQnqSN8QcaezchxwKjBUoJFwnvSWMV3YbNhus7iApump,0.0,3.4471739912786,5,1,0,0
EZ5eg5v4pfeRyroCzfD7nUFQu2woFNSvMD2YWLVupump,0.0,10.1074245660681,10,1,0,1
J44rtDGhp41ome7d7FwpY393othKfmdL7NgsCwbdpump,0.0,12.0177820603509,10,1,0,0
2AZZWDNeS2BG9XkfymrnoGQjSwNnH2u23fnYBCHepump,0.0,2.9244618454939997,28,1,0,0
3CMhgUdVBdoeXfkVM8gaoLKBsrbB7E3UTje6PhNNpump,0.0,0.4230447887208,7,1,0,0
Dx9bVe8bwTCFrampQcLvxtg8ScF5NKJ5s81cgj1opump,10.3421686746987,37.3009310252402,19,1,0,0
878ZqS8QGDTK7PjBDv4gMkzm2Ke3T4pnHbXuK1C22zmT,5.5,23.9777669335565,27,1,0,1
9Tr49Tr2THEeWnDdXZNKxnuKmXP3XhFHHt83ifU4pump,1.7590163934426002,14.0893318430399,12,1,0,1
KrLcri9Bx4oGwzEibXxy95y5xEchJosqaz7DSA1pump,0.0,0.22296658854309997,11,1,0,0
H7Pr2UF2MPcQskEw1NTY1AQxqFTJ26Sy8ZLfaFvUpump,12.6236666,14.0071464312791,6,1,0,0
9CmNWrCh2yM2mHAgv3cdkraWZnFBuADLY1ZkH216pump,0.0,5.4998666617899,31,1,0,0
H7bDiCix22sVmxR5MUy5uT1jVhrjUq58KV2Hq42pump,3.4612903225806,35.4319138706461,107,1,0,1
9UQgnpb6a3c5N2AYXfDdcVs2okTJ8SWWPCcA5ysfpump,0.0,0.19148567621339999,4,1,0,0
7AS3BMFegFhA8q7pQqSxo6qVzQjA9S8TAEQWjUarpump,0.0,0.3073474066553,17,1,0,0
AuGDia9K2mNSSBCDZxoMezpE2yxrW3aADkMrAjTpump,0.0,1.4198086220496,8,1,0,1
EayKB2kmHxGiJy2FaDz3PoXnGqsuQnJUe2gWhU3npump,11.210447761194,33.1109050088669,19,1,0,1
4B7hhN2wTUG65dPw2fkN1mxAb9axDoCufWMQgXg8pump,0.0,1.2672280429892,14,1,0,0
7RdmtyTRChPEfTWxSKx3rLbwUvrammSwxFRcgE18pump,0.0,22.6939254418572,27,1,0,1
D7A7P1phN85NGfs54WrW4BGNgw7mrda2Uic66my4pump,0.0,5.8203350357663,13,1,0,0
94LTJk1uzMcqgyZBzshhnmBfyXcp4mUZFkJ7SSVWpump,0.0,13.124393579910102,43,1,0,0
GMMQstmyEdu1PiS7xsPRT8rJAhQYJo5KRJHJbbDSpump,0.0,0.20141291232970002,7,1,0,0
85s5cgnUxZLEyuhXeDkzujhcVvXDVmDuzmpd5R3Wpump,0.0,0.22296658854309997,7,1,0,0
7HTB9EgbfXW3GYaD9zr5Lc1yF49LnLRJsTW1dTkwpump,0.0,0.6497100539939,13,1,0,0
CKSzCbXvHmP9EeJ8CjVeEsqj8GxdEdVQMb3oHktGpump,0.0,0.0714856762134,5,1,0,0
A9hNybrgkRMUfNkd5KtsbYCA27caLQ1o76hBLq4bpump,3.4612903225806,3.5341692467759,6,1,0,1
34zNSqK55yTDy1mYByFNLbLRv7R9bVRd5VV5L2VDF7ne,0.0,0.07081799188480001,3,1,0,0
FsEkQy8ujd1BJoMz7tC5vkgkBetA8sfHCY5JYHoEpump,0.0,0.5079234651751999,8,1,0,0
7RUhL5D3W3c1vsLGkEwjHr7Soomt1MiLifu81mARpump,9.1597560972818,9.1627181676784,4,1,0,0
Go2xoTL988h2PztZCBdypR4v3boeTG9o3tqbSgoMpump,0.0,4.8046059058812,4,1,0,0
CyVbnDjxV6u67MyafDcGip7hvAfDfGZ4r7NkM9DApump,0.0,60.950107991360305,21,1,0,1
4oNP1VxbnfhVTSrXAvXu18dnCyMskTgTxycVq3xgpump,0.0,1.4871934111799001,44,1,0,0
Hqhhq3eGGVHrqz7GMoq2HmKq9eZTpJchQjetEY4epump,3.4612903225806,3.6301384293772996,3,1,0,0
4zF916VGwFqwPyCYJmoKNkrHouWZQ8rDGJm5ph6yLfFC,0.0,0.9853066062043,3,1,0,0
GF4VwwafEqueTb7zF7VokiCDsKLx8674Y52nsshDpump,0.0,4.0613478668231,20,1,0,1
zUm5e9U3vGmLzmyU9nAa1BmRwFkeaV23hmufpbipump,5.4973434535104,7.3298140317951,2,1,0,0
